icao24,callsign,startTime,endTime,path
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
a126cc,UAL2353 ,1759356477,1759359956,
